timestep,n_communities,modularity,n_nodes,n_edges,pure_illicit_count,pure_licit_count,mixed_count
1,71,0.8935740236451788,7880,9164,0,49,0
2,56,0.9129942677830314,4544,5241,0,38,0
3,57,0.9010057586446477,6621,8316,0,40,0
4,77,0.8156424668671276,5693,8180,0,33,1
5,62,0.8857706941683315,6803,8623,0,48,0
6,51,0.8735398254435712,4328,5242,0,23,0
7,57,0.9058213387751956,6048,7253,2,35,2
8,57,0.9070888441678024,4457,5186,0,31,8
9,58,0.9265387135490213,4996,5939,3,19,8
10,110,0.8461795851340106,6727,8588,0,24,2
11,60,0.9290011927114699,4296,4656,2,18,7
12,42,0.9180782579380884,2047,2213,0,15,2
13,57,0.9273492206778826,4528,4827,3,11,9
14,45,0.9377502846169736,2022,2078,1,14,4
15,57,0.9364116264505574,3639,3823,1,10,5
16,49,0.9340864870973049,2975,3120,2,12,6
17,55,0.9181086507787579,3385,3650,0,23,5
18,44,0.9241772993757299,1976,2115,1,14,2
19,55,0.9167359345846546,3506,3838,0,21,8
20,63,0.9151002044447102,4291,4755,3,18,11
21,67,0.9087717492782967,3537,3959,4,15,4
22,73,0.8839668924808738,5894,7014,4,29,3
23,52,0.9140029179953647,4165,4584,1,25,4
24,56,0.9060477176179083,4592,5124,1,32,5
25,46,0.892216336662749,2314,2619,3,11,3
26,49,0.9227867221293238,2523,2690,1,13,6
27,28,0.9059707203509103,1089,1168,0,3,1
28,36,0.9301517016616528,1653,1717,1,5,2
29,56,0.9269963974516652,4275,4541,3,25,9
30,45,0.9388286222268032,2483,2561,1,17,5
31,53,0.9238857596611846,2816,3049,1,17,8
32,60,0.9073311993848541,4525,4952,3,26,10
33,52,0.9203438654130695,3151,3366,0,15,1
34,48,0.898459871745903,2486,2692,0,14,2
35,77,0.8885262527884765,5507,6351,0,25,9
36,95,0.8627739748372987,6393,7813,0,29,1
37,58,0.8677658916916943,3306,3849,0,16,2
38,51,0.9151547670930534,2891,3094,0,21,8
39,48,0.9099942459402434,2760,2914,0,30,7
40,53,0.8589972477260239,4481,5246,1,27,6
41,68,0.8686633508642737,5342,6093,1,29,2
42,64,0.8494147090526858,7140,8493,1,33,7
43,56,0.8628895275757361,5063,5950,1,34,0
44,60,0.8951156666174789,4975,5551,0,44,1
45,59,0.8501953640070707,5598,6673,0,33,0
46,50,0.8824305718550222,3519,3866,0,27,0
47,58,0.8770242737300171,5121,5748,0,33,3
48,47,0.9014764124140815,2954,3284,0,13,2
49,45,0.9198351186218626,2454,2587,0,13,2
